Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adjusted net national income per capita (current US$),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)",Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Community health workers (per 1,000 people)",Compensation of employees (% of expense),Compensation of employees (current LCU),"Compulsory education, duration (years)",Control of Corruption: Estimate,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)",Multidimensional poverty headcount ratio (World Bank) (% of population),Multilateral debt service (% of public and publicly guaranteed debt service),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Proportion of people living below 50 percent of median income (%),"School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Terms of trade adjustment (constant LCU),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Composite Index,Rank
Kenya,KEN,-3563424935.421849,-3563424942.6614323,-3563424920.9197655,-3563424908.153099,-3563424917.711432,-3563424877.8114324,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416376.0675564,5146027923.762195,-3563424856.3738074,9433856870.314997,11780614209.932703,11780614209.394688,80.78967232916666,4.308748281416667,76.48092404833335,-3563424912.8479323,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,35402699530.23509,35402699530.44973,35402699530.02085,35403155271.49491,35402933067.661575,35402921726.20324,33968147167.149223,14927350013.899061,210650225003.2679,9.833333333333334,-2879550211.551513,2839415539.133804,2839415586.171738,-3563424943.4812045,-3563424943.157844,-3563424943.316014,29233655918.08655,29233655910.597305,29233655903.167217,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424909.258831,-3563424892.529856,-3563424914.697696,-2750398410.421551,-2879550211.7722754,24130415469.000496,7154729322.57531,23901990480.45435,37546944981.91679,8462623446.80466,22143202162.532925,-40135505748.416664,7508025422.153758,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,24.37108333333333,-3563424922.023783,-3563424903.6892676,-3563424912.656924,22863314617.534653,24892153482.812508,24892153489.537506,6.697794050308503,1.0
Myanmar,MMR,-3563424929.4676824,-3563424937.5572658,-3563424909.430182,-3563424892.4364324,-3563424905.2989326,-3563424861.0697656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416142.240525,3301135743.158444,-3563424911.5610576,28845944068.320583,29313378956.806065,29313378957.506546,50.335315535416676,8.334246770791667,42.00106876291666,-3563424926.714599,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,36362904971.20213,36985659062.56398,36985659063.68206,36363025473.46785,36985697169.517586,36985726179.975914,34336440388.64011,19269088904.900715,683368088898.7712,5.0,-2879550211.7745833,2839415537.908861,2839415564.295528,-3563424944.4379597,-3563424940.639122,-3563424942.184759,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424933.1603446,-3563424883.0168166,-3563424879.235262,-3563424903.499681,-2879550211.821077,24130415469.000496,7154729322.57531,23757427367.66547,23602108165.831203,7317391794.169072,22143202162.532925,624846228706.2396,7508025421.00959,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,29.293999999999986,-3563424919.326216,-3563424917.977899,-3563424918.523461,22863314617.534653,24892153482.812508,24892153489.537506,6.595135887390298,2.0
Nigeria,NGA,-3563424939.5051823,-3563424943.190599,-3563424933.9760156,-3563424895.7447658,-3563424920.532265,-3563424864.511432,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416956.540649,5267958720.216361,-3563424830.7418904,9433856870.314997,11780614209.932703,11780614209.394688,88.26558510249998,5.748593244666668,82.5169918575,-3563424906.31189,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,37413635778.796776,37413635780.77621,37413635776.87148,37416230733.418144,37415141615.959816,37414724885.043144,33968147167.149223,2942913802.3481135,1780966706932.684,1878893412.844328,-2879550211.7452445,2839415538.242655,2839415596.059145,-3563424945.04624,-3563424944.4035287,-3563424944.698471,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424908.058883,-3563424886.3452296,-3563424910.938547,-3563424925.065062,-2879550212.417488,27201299911.79726,7154729322.57531,11382638454.98987,19015545885.436924,7317391794.169072,22143202162.532925,624846228706.2396,7508025425.149175,5150089740.478618,4903608270.691173,5135914276.179225,16992901270.13714,44.70633333333333,-3563424932.7415433,-3563424926.0453286,-3563424929.184357,22863314617.534653,24892153482.812508,24892153489.537506,6.165990803544677,3.0
Namibia,NAM,-3563424906.046849,-3563424934.1114326,-3563424873.5447655,-3563424901.8614326,311188111.7222468,-3563424875.2489324,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418941.3471494,3555035840.537194,-3563424874.867891,16310901514.07873,27603408772.996952,27603408774.457047,70.64624829958332,6.018880956583334,64.62736734250001,-3563424917.1911407,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,30046356987.142986,32161420948.682926,32161420949.80333,30046372654.05841,32161427856.488865,32161429639.238865,33968147167.149223,-3563424901.6963506,11697855873.963568,7.0,-2879550210.4093666,2839415543.5997806,2839415908.539311,-3563424941.816351,-3563424939.3247886,-3563424940.5057716,35353743866.3741,35353743857.172165,35353743855.2191,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424867.7202835,-3563424914.618545,-2750398410.421551,-2879550210.0624347,24130415469.000496,7154729322.57531,7197009941.11554,38750948088.92973,12516329164.818474,22143202162.532925,-1252281729.3177834,7508025424.447925,5150089740.478618,4903608270.691173,5135914276.179225,26944099271.878727,43.32491666666667,-3563424889.5731564,-3563424876.8329988,-3563424882.8092093,22863314617.534653,24892153482.812508,24892153489.537506,6.107105672942645,4.0
Central African Republic,CAF,-3563424944.948932,-3563424945.4947658,-3563424944.4864326,-3563424935.4322658,1217539051.019846,-3563424922.1322656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415845.638342,2860287202.226778,-3563424793.9545574,9433856870.314997,11780614209.932703,11780614209.394688,96.752278455,4.285788723416666,92.46648973416667,-3563424904.8388076,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,30438665689.27875,30438665692.129745,30438665686.46973,30438788619.846024,30438737954.721024,30438716338.51269,33968147167.149223,8758282635.001719,39806890711.37154,10.0,-2879550211.75188,2839415539.8389163,2839415554.463981,-3563424945.260735,-3563424943.7646427,-3563424944.4304013,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424897.0257115,-3563424900.692121,-3563424928.8046665,-3563424938.6466846,-2879550212.4153385,24130415469.000496,7154729322.57531,26397479692.343075,14487319854.167421,7317391794.169072,22143202162.532925,-31444499018.701702,7508025421.9012575,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,39.76875000000001,-3563424943.1751266,-3563424935.882929,-3563424939.1274505,22863314617.534653,24892153482.812508,24892153489.537506,6.085879053819785,5.0
Sao Tome and Principe,STP,-3563424943.9780993,-3563424945.1655993,-3563424943.453099,-3563424884.7947655,-3563424897.032265,-3563424877.6614323,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3667579041.587483,3676688575.289848,-3563424843.664307,30151325249.047474,30151325249.162704,30151325248.941967,83.75519240250001,7.004553997208334,76.75063840666667,-3563424911.9480157,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,24435007767.417965,24435007767.48119,24435007767.35138,24435008850.2567,24435008319.423367,24435008294.5067,33968147167.149223,2942913802.3481135,1780966706932.684,6.0,-2879550210.735287,2839415542.3387547,2839415620.8339276,-3563424944.4201016,-3563424943.041618,-3563424943.474876,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424877.9541345,-3563424874.7018337,-3563424912.4466567,-3563424915.4957194,-2879550210.350184,24130415469.000496,7154729322.57531,21320218871.310593,21501982817.92067,7317391794.169072,22143202162.532925,624846228706.2396,7508025425.464589,5150089740.478618,4903608270.691173,5135914276.179225,33456015722.56403,65.93520833333335,-3563424921.0432625,-3563424902.0385213,-3563424908.0088615,22863314617.534653,24892153482.812508,24892153489.537506,5.962799300413389,6.0
Mali,MLI,-3563424944.640599,-3563424945.144766,-3563424943.626015,-3563424917.0614324,5050338878.684926,-3563424880.1864324,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416029.376777,3213158562.203445,-3563424783.8381405,21405987929.891037,23463226494.308506,23463226490.57051,99.83805193416664,5.47407711675,94.36397482458334,-3563424902.0113907,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,17036485021.901733,19093723588.030804,19093723581.797943,17037193444.893354,19094088724.71304,19094019002.83804,33968147167.149223,7508025451.076406,241191025419.97336,9.0,-2879550211.31797,2839415539.060551,2839415560.7225947,-3563424945.214748,-3563424944.480814,-3563424944.789217,22537827494.534664,22537827494.494106,22537827486.181942,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424885.8949847,-3563424881.320175,-3563424915.03515,-2750398410.421551,-2879550211.5313973,24130415469.000496,7154729322.57531,11182399729.045752,14192283869.427038,13426131964.990433,22143202162.532925,219539489362.45834,7508025422.398341,11135880849.414904,11135880845.823614,11135880847.612823,7692307925.350403,37.217999999999996,-3563424938.1233597,-3563424928.0073133,-3563424932.2050986,22863314617.534653,24892153482.812508,24892153489.537506,5.546862317356139,7.0
Tajikistan,TJK,-3563424880.784349,-3563424889.988516,-3563424856.1635156,-3563424850.6197658,-3563424850.7447658,-3563424850.315599,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,4718309549.255137,3049238809.0380282,-3563424902.4175153,34786884564.38885,36547997093.154,36547997087.75733,69.91390986124999,5.658840959041666,64.25506890208334,-3563424917.1720986,21915321633.569134,32255922497.50681,32255922467.409855,32255922467.58057,18800532683.685608,23005262371.337574,23005262370.453922,18800562003.39557,23005272920.14964,23005270144.191303,33968147167.149223,2942913802.3481135,1780966706932.684,9.0,-2879550211.8175297,2839415540.419695,2839415573.545528,-3563424942.364493,-3563424940.3374705,-3563424941.080973,25352810712.96977,25485332453.60962,31854520367.078487,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424910.8463597,-3563424877.850104,-3563424855.7027526,-3563424900.144857,-2879550211.554849,24130415469.000496,7154729322.57531,18800532680.371727,30400308419.055943,18800532680.03045,22143202162.532925,-5548508111.857265,7508025420.671674,5150089740.478618,4903608270.691173,5135914276.179225,34899590980.304695,26.849,-3563424883.2063117,-3563424879.1771436,-3563424880.66277,22863314617.534653,24892153482.812508,24892153489.537506,5.261715263224783,8.0
Uganda,UGA,-3563424944.7489324,-3563424945.1822658,-3563424943.1197658,-3563424925.4864326,-3563424933.523932,-3563424893.7322655,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839415962.6619563,3254399194.970528,-3563424819.181349,9433856870.314997,11780614209.932703,11780614209.394688,102.06511326666667,3.5163772559166673,98.54873601041665,-3563424905.005682,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,23005262371.525684,23005262371.242466,23005262371.80928,23005502414.27464,23005371559.816303,23005393222.85797,33968147167.149223,11120991408.679548,1131248908068.5554,3737294803.009348,-2879550211.578354,2839415539.7159505,2839415567.548258,-3563424943.7444043,-3563424941.988486,-3563424942.8405614,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424882.6256986,-3563424905.1563454,-3563424927.5889907,-3563424936.3297176,-2879550211.574698,25651291510.37467,7154729322.57531,18800532680.39231,25358474165.600067,23549059938.481594,22143202162.532925,-543088966717.75,7508025432.891673,5150089740.478618,4903608270.691173,5135914276.179225,19172942805.925312,20.38941666666667,-3563424932.926333,-3563424921.7764397,-3563424927.1534247,22863314617.534653,24892153482.812508,24892153489.537506,5.2325552182720845,9.0
Nicaragua,NIC,-3563424901.336432,-3563424937.7051826,-3563424876.344765,-3563424868.898932,-3563424891.1155987,-3563424852.190599,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416784.0370336,3153564964.9580274,-3563424851.756099,9433856870.314997,11780614209.932703,11780614209.394688,62.60892282708335,6.72360461425,55.88531821333333,-3563424922.7762656,20365263558.50085,32255922497.50681,32255922467.409855,32255922467.58057,37284565306.05361,37284565306.237816,37284565305.87243,37284592387.770836,37284579490.97917,37284578199.56251,33968147167.149223,-3563424911.527485,10399390104.463568,6.75,-2879550211.4410667,2839415541.628725,2839415643.469095,-3563424943.1480794,-3563424939.2496853,-3563424940.646317,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424882.0472264,7508025490.924428,7508025478.144994,7508025465.213254,-2879550210.9738994,24130415469.000496,7154729322.57531,8244593637.419147,37284565303.20887,11372390499.065115,22143202162.532925,6602374009.812125,7508025423.486674,5150089740.478618,4903608270.691173,5135914276.179225,17828051845.588448,57.286,-3563424897.4493623,-3563424892.9730897,-3563424894.5968204,22863314617.534653,24892153482.812508,24892153489.537506,5.092435236851722,10.0
